Skater,Country,Year,Segment,Element_ID,Element_Name,Base_Value,GOE,Element_Score,Is_Jump,Is_Quad,Underrotated,Fall,Medal
Hanyu Yuzuru,JPN,2014,FS,1,4S,10.5,-3,7.5,TRUE,TRUE,FALSE,TRUE,Gold
Hanyu Yuzuru,JPN,2014,FS,2,4T,10.3,2.14,12.44,TRUE,TRUE,FALSE,FALSE,Gold
Hanyu Yuzuru,JPN,2014,FS,3,3F,5.3,-1.9,3.4,TRUE,FALSE,FALSE,TRUE,Gold
Hanyu Yuzuru,JPN,2014,FS,4,StSq3,3.3,1,4.3,FALSE,FALSE,FALSE,FALSE,Gold
Hanyu Yuzuru,JPN,2014,FS,5,FCCoSp4,3.5,1,4.5,FALSE,FALSE,FALSE,FALSE,Gold
Hanyu Yuzuru,JPN,2014,FS,6,3A+3T,13.86,2.43,16.29,TRUE,FALSE,FALSE,FALSE,Gold
Hanyu Yuzuru,JPN,2014,FS,7,3A+2T,10.78,0.29,11.07,TRUE,FALSE,FALSE,FALSE,Gold
Hanyu Yuzuru,JPN,2014,FS,8,3Lo,5.61,0.3,5.91,TRUE,FALSE,FALSE,FALSE,Gold
Hanyu Yuzuru,JPN,2014,FS,9,3Lz+1Lo+SEQ,5.72,-0.3,5.42,TRUE,FALSE,FALSE,FALSE,Gold
Hanyu Yuzuru,JPN,2014,FS,10,3Lz,6.6,1.2,7.8,TRUE,FALSE,FALSE,FALSE,Gold
Hanyu Yuzuru,JPN,2014,FS,11,ChSq1,2,1.6,3.6,FALSE,FALSE,FALSE,FALSE,Gold
Hanyu Yuzuru,JPN,2014,FS,12,FCSSp4,3,0.79,3.79,FALSE,FALSE,FALSE,FALSE,Gold
Hanyu Yuzuru,JPN,2014,FS,13,CCoSp3,3,0.64,3.64,FALSE,FALSE,FALSE,FALSE,Gold
Chan Patrick,CAN,2014,FS,1,4T+3T,14.4,3,17.4,TRUE,TRUE,FALSE,FALSE,Silver
Chan Patrick,CAN,2014,FS,2,4T,10.3,-1.57,8.73,TRUE,TRUE,FALSE,FALSE,Silver
Chan Patrick,CAN,2014,FS,3,3A,8.5,-2.57,5.93,TRUE,FALSE,FALSE,FALSE,Silver
Chan Patrick,CAN,2014,FS,4,StSq4,3.9,2,5.9,FALSE,FALSE,FALSE,FALSE,Silver
Chan Patrick,CAN,2014,FS,5,FSSp4,3,1,4,FALSE,FALSE,FALSE,FALSE,Silver
Chan Patrick,CAN,2014,FS,6,3Lz+1Lo+2S,8.58,0.5,9.08,TRUE,FALSE,FALSE,FALSE,Silver
Chan Patrick,CAN,2014,FS,7,3Lz,6.6,1.2,7.8,TRUE,FALSE,FALSE,FALSE,Silver
Chan Patrick,CAN,2014,FS,8,3Lo,5.61,0,5.61,TRUE,FALSE,FALSE,FALSE,Silver
Chan Patrick,CAN,2014,FS,9,3F+2T,7.26,0.6,7.86,TRUE,FALSE,FALSE,FALSE,Silver
Chan Patrick,CAN,2014,FS,10,CCSp3,2.8,0.86,3.66,FALSE,FALSE,FALSE,FALSE,Silver
Chan Patrick,CAN,2014,FS,11,2A,3.63,-1,2.63,TRUE,FALSE,FALSE,FALSE,Silver
Chan Patrick,CAN,2014,FS,12,ChSq1,2,1.8,3.8,FALSE,FALSE,FALSE,FALSE,Silver
Chan Patrick,CAN,2014,FS,13,CCoSp3,3,0,3,FALSE,FALSE,FALSE,FALSE,Silver
Ten Denis,KAZ,2014,FS,1,4T,10.3,0,10.3,TRUE,TRUE,FALSE,FALSE,Bronze
Ten Denis,KAZ,2014,FS,2,3A+3T,12.6,1.86,14.46,TRUE,FALSE,FALSE,FALSE,Bronze
Ten Denis,KAZ,2014,FS,3,3A,8.5,1.29,9.79,TRUE,FALSE,FALSE,FALSE,Bronze
Ten Denis,KAZ,2014,FS,4,StSq4,3.9,1.3,5.2,FALSE,FALSE,FALSE,FALSE,Bronze
Ten Denis,KAZ,2014,FS,5,CCSp4,3.2,0.64,3.84,FALSE,FALSE,FALSE,FALSE,Bronze
